id,parent_id,name,parent_name,category_type,order
1,NULL,Antiques & collectables,NULL,marketplace,0
209,NULL,Art,NULL,marketplace,0
292,NULL,Baby-gear,NULL,marketplace,0
528,NULL,Books,NULL,marketplace,0
957,NULL,Building-renovation,NULL,marketplace,0
1144,NULL,Business-farming-industry,NULL,marketplace,0
1482,NULL,Clothing & Fashion,NULL,marketplace,0
1641,NULL,Computers,NULL,marketplace,0
1878,NULL,Crafts,NULL,marketplace,0
2045,NULL,Electronics-photography,NULL,marketplace,0
2305,NULL,Flatmates-wanted,NULL,marketplace,0
2306,NULL,Gaming,NULL,marketplace,0
2528,NULL,Health-beauty,NULL,marketplace,0
2823,NULL,Home & Living,NULL,marketplace,0
3505,NULL,Jewellery & watches,NULL,marketplace,0
3638,NULL,Mobile phones,NULL,marketplace,0
3819,NULL,Movies & TV,NULL,marketplace,0
3893,NULL,Music-instruments,NULL,marketplace,0
4275,NULL,Pets & animals,NULL,marketplace,0
4366,NULL,Pottery & Glass,NULL,marketplace,0
4483,NULL,Sports,NULL,marketplace,0
5122,NULL,Toys & models,NULL,marketplace,0
5518,NULL,Travel-events-activities,NULL,marketplace,0
2,1,Advertising,Antiques & collectables,marketplace,0
18,1,Appliances,Antiques & collectables,marketplace,0
19,1,Art deco & retro,Antiques & collectables,marketplace,0
35,1,Automotive & transport,Antiques & collectables,marketplace,0
43,1,Banknotes,Antiques & collectables,marketplace,0
54,1,Bottles,Antiques & collectables,marketplace,0
55,1,Clocks & scientific instruments,Antiques & collectables,marketplace,0
56,1,Coins,Antiques & collectables,marketplace,0
87,1,Cultural & ethnic,Antiques & collectables,marketplace,0
88,1,Documents & maps,Antiques & collectables,marketplace,0
92,1,Flags,Antiques & collectables,marketplace,0
93,1,Food & drink,Antiques & collectables,marketplace,0
97,1,Furniture & woodenware,Antiques & collectables,marketplace,0
106,1,Jewellery,Antiques & collectables,marketplace,0
112,1,Militaria,Antiques & collectables,marketplace,0
121,1,Movie & TV memorabilia,Antiques & collectables,marketplace,0
137,1,Museum pieces & artifacts,Antiques & collectables,marketplace,0
144,1,Ornaments & figurines,Antiques & collectables,marketplace,0
149,1,Phonecards,Antiques & collectables,marketplace,0
152,1,"Pins, badges & patches",Antiques & collectables,marketplace,0
158,1,Postcards & writing,Antiques & collectables,marketplace,0
169,1,Royal family,Antiques & collectables,marketplace,0
170,1,"Silver, metalware & tins",Antiques & collectables,marketplace,0
177,1,Stamps,Antiques & collectables,marketplace,0
200,1,Textiles & linen,Antiques & collectables,marketplace,0
207,1,Tools,Antiques & collectables,marketplace,0
208,1,Other,Antiques & collectables,marketplace,0
210,209,Art supplies & equipment,Art,marketplace,0
221,209,Carvings & sculpture,Art,marketplace,0
226,209,Digital art,Art,marketplace,0
227,209,Drawings,Art,marketplace,0
228,209,Hanging sculptures,Art,marketplace,0
230,209,Paintings,Art,marketplace,0
273,209,Photographs,Art,marketplace,0
280,209,Prints,Art,marketplace,0
291,209,Other,Art,marketplace,0
293,292,Baby carriers,Baby-gear,marketplace,0
304,292,Baby monitors,Baby-gear,marketplace,0
305,292,Baby room & furniture,Baby-gear,marketplace,0
317,292,Baby walkers,Baby-gear,marketplace,0
318,292,Bath time,Baby-gear,marketplace,0
324,292,Blankets & covers,Baby-gear,marketplace,0
343,292,Bouncers & jolly jumpers,Baby-gear,marketplace,0
348,292,Car seats,Baby-gear,marketplace,0
353,292,Clothing,Baby-gear,marketplace,0
438,292,Cots & bassinets,Baby-gear,marketplace,0
448,292,Feeding,Baby-gear,marketplace,0
466,292,Nappies & changing,Baby-gear,marketplace,0
482,292,Prams & strollers,Baby-gear,marketplace,0
491,292,Safety,Baby-gear,marketplace,0
495,292,Sleep aids,Baby-gear,marketplace,0
500,292,Teething necklaces,Baby-gear,marketplace,0
501,292,Toys,Baby-gear,marketplace,0
527,292,Other,Baby-gear,marketplace,0
529,528,Audio books,Books,marketplace,0
536,528,Bulk,Books,marketplace,0
537,528,Children & babies,Books,marketplace,0
567,528,Comics & graphic novels,Books,marketplace,0
581,528,Fiction & literature,Books,marketplace,0
693,528,Foreign language,Books,marketplace,0
703,528,Magazines,Books,marketplace,0
725,528,Non-fiction,Books,marketplace,0
918,528,Rare & collectable,Books,marketplace,0
934,528,Teaching resources & education,Books,marketplace,0
947,528,Young adult fiction,Books,marketplace,0
958,957,Bathroom,Building-renovation,marketplace,0
979,957,Building supplies,Building-renovation,marketplace,0
1012,957,"Carpet, tiles & flooring",Building-renovation,marketplace,0
1023,957,"Doors, windows & mouldings",Building-renovation,marketplace,0
1038,957,Electrical & lighting,Building-renovation,marketplace,0
1052,957,Fixtures & fittings,Building-renovation,marketplace,0
1059,957,Heating & cooling,Building-renovation,marketplace,0
1065,957,Kitchen,Building-renovation,marketplace,0
1072,957,Painting & wallpaper,Building-renovation,marketplace,0
1081,957,Plumbing & gas,Building-renovation,marketplace,0
1085,957,Portable cabins,Building-renovation,marketplace,0
1086,957,Tools,Building-renovation,marketplace,0
1143,957,Other,Building-renovation,marketplace,0
1145,1144,Businesses for sale,Business-farming-industry,marketplace,0
1165,1144,Carbon credits,Business-farming-industry,marketplace,0
1166,1144,Farming & forestry,Business-farming-industry,marketplace,0
1318,1144,Industrial,Business-farming-industry,marketplace,0
1370,1144,Office equipment & supplies,Business-farming-industry,marketplace,0
1390,1144,Office furniture,Business-farming-industry,marketplace,0
1408,1144,Postage & packing supplies,Business-farming-industry,marketplace,0
1414,1144,Retail & hospitality,Business-farming-industry,marketplace,0
1461,1144,Wholesale lots,Business-farming-industry,marketplace,0
1481,1144,Other,Business-farming-industry,marketplace,0
1483,1482,Boys,Clothing & Fashion,marketplace,0
1502,1482,Girls,Clothing & Fashion,marketplace,0
1528,1482,Men,Clothing & Fashion,marketplace,0
1559,1482,Women,Clothing & Fashion,marketplace,0
1642,1641,3D Printers & Supplies,Computers,marketplace,0
1646,1641,Blank discs & cases,Computers,marketplace,0
1654,1641,Cables & adaptors,Computers,marketplace,0
1662,1641,Components,Computers,marketplace,0
1708,1641,Computer furniture,Computers,marketplace,0
1711,1641,Desktops,Computers,marketplace,0
1716,1641,Domain names,Computers,marketplace,0
1717,1641,External storage,Computers,marketplace,0
1721,1641,Laptops,Computers,marketplace,0
1762,1641,Monitors,Computers,marketplace,0
1765,1641,Networking & modems,Computers,marketplace,0
1778,1641,Peripherals,Computers,marketplace,0
1801,1641,Printer accessories & supplies,Computers,marketplace,0
1816,1641,Printers,Computers,marketplace,0
1820,1641,Servers,Computers,marketplace,0
1823,1641,Software,Computers,marketplace,0
1842,1641,Tablets & E-book readers,Computers,marketplace,0
1876,1641,Vintage,Computers,marketplace,0
1877,1641,Other,Computers,marketplace,0
1879,1878,Cake design,Crafts,marketplace,0
1886,1878,Candle making,Crafts,marketplace,0
1887,1878,Crochet,Crafts,marketplace,0
1888,1878,Cross-stitch,Crafts,marketplace,0
1896,1878,Diamond painting,Crafts,marketplace,0
1897,1878,Embroidery,Crafts,marketplace,0
1901,1878,Fabric,Crafts,marketplace,0
1920,1878,Greeting cards & envelopes,Crafts,marketplace,0
1927,1878,Jewellery making & beading,Crafts,marketplace,0
1944,1878,Knitting & Weaving,Crafts,marketplace,0
1950,1878,Mosaics,Crafts,marketplace,0
1964,1878,Painting & drawing,Crafts,marketplace,0
1965,1878,Pottery & ceramics,Crafts,marketplace,0
1966,1878,Quilting,Crafts,marketplace,0
1977,1878,Scrapbooking,Crafts,marketplace,0
2015,1878,Sewing,Crafts,marketplace,0
2037,1878,Spinning,Crafts,marketplace,0
2038,1878,Stamping,Crafts,marketplace,0
2042,1878,Transfers,Crafts,marketplace,0
2043,1878,Woodcraft,Crafts,marketplace,0
2044,1878,Other,Crafts,marketplace,0
2046,2045,Batteries,Electronics-photography,marketplace,0
2057,2045,Binoculars & telescopes,Electronics-photography,marketplace,0
2060,2045,Camera accessories,Electronics-photography,marketplace,0
2108,2045,Digital cameras,Electronics-photography,marketplace,0
2124,2045,DVD & Blu-ray players,Electronics-photography,marketplace,0
2132,2045,Film cameras,Electronics-photography,marketplace,0
2138,2045,GPS,Electronics-photography,marketplace,0
2145,2045,Home audio,Electronics-photography,marketplace,0
2163,2045,iPod & MP3 accessories,Electronics-photography,marketplace,0
2186,2045,iPods,Electronics-photography,marketplace,0
2192,2045,Media streaming,Electronics-photography,marketplace,0
2196,2045,Memory cards,Electronics-photography,marketplace,0
2217,2045,MP3 players,Electronics-photography,marketplace,0
2225,2045,Phone & fax,Electronics-photography,marketplace,0
2231,2045,Projectors & screens,Electronics-photography,marketplace,0
2236,2045,Radio equipment,Electronics-photography,marketplace,0
2240,2045,TVs,Electronics-photography,marketplace,0
2268,2045,Video cameras,Electronics-photography,marketplace,0
2280,2045,Other electronics,Electronics-photography,marketplace,0
2298,2045,Other music players,Electronics-photography,marketplace,0
2307,2306,Arcade & pinball machines,Gaming,marketplace,0
2311,2306,Joysticks & gamepads,Gaming,marketplace,0
2312,2306,Nintendo DS,Gaming,marketplace,0
2322,2306,Nintendo 3DS,Gaming,marketplace,0
2326,2306,Nintendo Switch,Gaming,marketplace,0
2330,2306,Nintendo Wii,Gaming,marketplace,0
2335,2306,Nintendo Wii U,Gaming,marketplace,0
2339,2306,Other Nintendo,Gaming,marketplace,0
2357,2306,PC games,Gaming,marketplace,0
2368,2306,PlayStation,Gaming,marketplace,0
2386,2306,PlayStation 2,Gaming,marketplace,0
2407,2306,PlayStation 3,Gaming,marketplace,0
2424,2306,PlayStation 4,Gaming,marketplace,0
2428,2306,PlayStation 5,Gaming,marketplace,0
2432,2306,PSP,Gaming,marketplace,0
2452,2306,PlayStation Vita,Gaming,marketplace,0
2456,2306,Sega,Gaming,marketplace,0
2462,2306,Trading cards,Gaming,marketplace,0
2477,2306,War games,Gaming,marketplace,0
2482,2306,Xbox,Gaming,marketplace,0
2499,2306,Xbox 360,Gaming,marketplace,0
2519,2306,Xbox One,Gaming,marketplace,0
2523,2306,Xbox Series X/S,Gaming,marketplace,0
2527,2306,Other,Gaming,marketplace,0
2529,2528,Bath & shower,Health-beauty,marketplace,0
2537,2528,Body moisturisers,Health-beauty,marketplace,0
2543,2528,Face care,Health-beauty,marketplace,0
2573,2528,Fragrance gift sets,Health-beauty,marketplace,0
2574,2528,Fragrance miniatures,Health-beauty,marketplace,0
2575,2528,Gift packs,Health-beauty,marketplace,0
2576,2528,Glasses & contacts,Health-beauty,marketplace,0
2587,2528,Hair accessories,Health-beauty,marketplace,0
2594,2528,Hair care products,Health-beauty,marketplace,0
2609,2528,Hair dryers,Health-beauty,marketplace,0
2610,2528,Hair straighteners,Health-beauty,marketplace,0
